,utility_code,lav_2008,mrv2_2008,country_name
0,001. Benin_SBEE,13.7259131521635,13.7259131521635,Benin
1,002. Burkina Faso_Sonabel,23.5575244127516,23.5575244127516,Burkina Faso
2,003. Cameroon_AES SONEL,13.9792349868308,13.9792349868308,Cameroon
3,004. Cape Verde_Electra,23.3420742449653,23.3420742449653,Cape Verde
4,005. Chad_STEE,83.6043236485878,83.6043236485878,Chad
5,"006. Congo, Dem. Rep._SNEL",6.754,6.754,"Congo, Dem. Rep."
6,007. CongoRep_SNE,0.12,0.12,CongoRep
7,008. Cote d'Ivoire_CIE,,,Cote d'Ivoire
8,009. Ethiopia_EEPCO,8.81447974670452,8.81447974670452,Ethiopia
9,010. Ghana_ECG,13.2440494188296,13.2440494188296,Ghana
10,011. Ghana_VRA,,,Ghana
11,012. Kenya_KENGEN,,,Kenya
12,013. Kenya_KPLC,13.7307879187737,13.7307879187737,Kenya
13,014. Lesotho_LEC,11.4852234729766,11.4852234729766,Lesotho
14,015. Madagascar_JIRAMA,16.4472254014472,16.4472254014472,Madagascar
15,016. Malawi_Escom,10.3187460838754,10.3187460838754,Malawi
16,017. Mali_EDM,,,Mali
17,018. Mozambique_EDM,9.48948540683533,9.48948540683533,Mozambique
18,019. Namibia_Nampower,18.7853526097262,18.7853526097262,Namibia
19,020. Namibia_NORED,,,Namibia
20,021. Niger_NIGELEC,43.2005843423325,43.2005843423325,Niger
21,022. Nigeria_PHCN,7.54765851764321,7.54765851764321,Nigeria
22,023. Rwanda_Electrogaz,38.2467997295054,38.2467997295054,Rwanda
23,024. Senegal_Senelec,23.8706666967127,23.8706666967127,Senegal
24,025. South Africa_Capetown,5.72517400315153,5.72517400315153,South Africa
25,026. South Africa_ESKOM,,,South Africa
26,027. South Africa_Tshwane,,,South Africa
27,028. Sudan_NEC,,,Sudan
28,029. Tanzania_TANESCO,16.024620178405,16.024620178405,Tanzania
29,030. Uganda_UEDCL,12.3016976006354,12.3016976006354,Uganda
30,031. Uganda_UEGCL,,,Uganda
31,032. Uganda_UETCL,,,Uganda
32,033. Zambia_ZESCO,7.36753607254364,7.36753607254364,Zambia
33,"034. Low Income, Fragile",,27.9764414578589,"Low Income, Fragile"
34,"035. Low Income, Non-Fragile",,18.6901984683825,"Low Income, Non-Fragile"
35,036. middle Income,,28.1246883064013,middle Income
36,037. Resource Rich,,14.8344560827049,Resource Rich
37,038. SSA,,19.1619617111544,SSA
38,039. CEMAC,,48.7917793177093,CEMAC
39,040. COMESA,,14.2476590691857,COMESA
40,041. EAC,,20.0759763568299,EAC
41,042. ECOWAS,,21.2126386836283,ECOWAS
42,043. SADC,,11.3774848032179,SADC
43,044. Central Africa Power Pool,,48.7917793177093,Central Africa Power Pool
44,045. Eastern Africa Power Pool,,15.9787308623373,Eastern Africa Power Pool
45,046. Southern Africa Power Pool,,11.3774848032179,Southern Africa Power Pool
46,047. Western Africa Power Pool,,21.2126386836283,Western Africa Power Pool
47,048. Countries with predominantly hydro generation,,13.8878471712032,Countries with predominantly hydro generation
48,049. Countries with installed capacity below 200 MW,,35.6008197650885,Countries with installed capacity below 200 MW
49,"050. Countries with installed capacity above 1,000 MW",,9.12267019111101,"Countries with installed capacity above 1,000 MW"
50,"051. Countries with installed capacity 200 MW to 1,000 MW",,16.0110608574543,"Countries with installed capacity 200 MW to 1,000 MW"
51,052. Countries with predominantly thermal generation,,26.7801271577506,Countries with predominantly thermal generation
